nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [1361/1760] | 设备: 其他 | 标题: FIMP: Future Interaction Modeling for Multi-Agent Motion Prediction....
✔ 完成 [1362/1760] | 设备: 其他 | 标题: Zero-training LiDAR-Camera Extrinsic Calibration Method Using Segment Anything M...
✔ 完成 [1364/1760] | 设备: 其他 | 标题: PeLiCal: Targetless Extrinsic Calibration via Penetrating Lines for RGB-D Camera...
✔ 完成 [1366/1760] | 设备: 无人小车 | 标题: An Extrinsic Calibration Method between LiDAR and GNSS/INS for Autonomous Drivin...
✔ 完成 [1363/1760] | 设备: 其他 | 标题: Dive Deeper into Rectifying Homography for Stereo Camera Online Self-Calibration...
✔ 完成 [1365/1760] | 设备: 其他 | 标题: A Novel, Efficient and Accurate Method for Lidar Camera Calibration....
✔ 完成 [1367/1760] | 设备: 其他 | 标题: SGCalib: A Two-stage Camera-LiDAR Calibration Method Using Semantic Information ...
✔ 完成 [1370/1760] | 设备: 其他 | 标题: Conflict Area Prediction for Boosting Search-Based Multi-Agent Pathfinding Algor...
✔ 完成 [1368/1760] | 设备: 其他 | 标题: eWand: An extrinsic calibration framework for wide baseline frame-based and even...
✔ 完成 [1372/1760] | 设备: 其他 | 标题: Conflict-Based Model Predictive Control for Scalable Multi-Robot Motion Planning...
✔ 完成 [1369/1760] | 设备: 其他 | 标题: Benchmarking Multi-Robot Coordination in Realistic, Unstructured Human-Shared En...
✔ 完成 [1371/1760] | 设备: 无人机 | 标题: AMSwarmX: Safe Swarm Coordination in CompleX Environments via Implicit Non-Conve...
✔ 完成 [1373/1760] | 设备: 其他 | 标题: db-CBS: Discontinuity-Bounded Conflict-Based Search for Multi-Robot Kinodynamic ...
✔ 完成 [1375/1760] | 设备: 无人机/无人小车 | 标题: Online On-Demand Multi-Robot Coverage Path Planning....
✔ 完成 [1377/1760] | 设备: 其他 | 标题: Generalizable Thermal-based Depth Estimation via Pre-trained Visual Foundation M...
✔ 完成 [1376/1760] | 设备: 其他 | 标题: MOTPose: Multi-object 6D Pose Estimation for Dynamic Video Sequences using Atten...
✔ 完成 [1374/1760] | 设备: 其他 | 标题: ALPHA: Attention-based Long-horizon Pathfinding in Highly-structured Areas....
✔ 完成 [1378/1760] | 设备: 机械臂 | 标题: OSSAR: Towards Open-Set Surgical Activity Recognition in Robot-assisted Surgery....
✔ 完成 [1380/1760] | 设备: 其他 | 标题: FE-DeTr: Keypoint Detection and Tracking in Low-quality Image Frames with Events...
✔ 完成 [1381/1760] | 设备: 其他 | 标题: TiV-ODE: A Neural ODE-based Approach for Controllable Video Generation From Text...
✔ 完成 [1379/1760] | 设备: 其他 | 标题: FSD: Fast Self-Supervised Single RGB-D to Categorical 3D Objects....
✔ 完成 [1383/1760] | 设备: 其他 | 标题: Self-supervised Pretraining and Finetuning for Monocular Depth and Visual Odomet...
✔ 完成 [1382/1760] | 设备: 其他 | 标题: TVFusionGAN: Thermal-Visible Image Fusion Based on Multi-level Adversarial Netwo...
✔ 完成 [1385/1760] | 设备: 其他 | 标题: CVFormer: Learning Circum-View Representation and Consistency for Vision-Based O...
✔ 完成 [1384/1760] | 设备: 其他 | 标题: Amodal Optical Flow....
✔ 完成 [1387/1760] | 设备: 其他 | 标题: ActFormer: Scalable Collaborative Perception via Active Queries....
✔ 完成 [1386/1760] | 设备: 其他 | 标题: Lightweight Event-based Optical Flow Estimation via Iterative Deblurring....
✔ 完成 [1389/1760] | 设备: 无人小车 | 标题: Multi-task Learning for Real-time Autonomous Driving Leveraging Task-adaptive At...
✔ 完成 [1388/1760] | 设备: 其他 | 标题: LiDAR Data Synthesis with Denoising Diffusion Probabilistic Models....
✔ 完成 [1393/1760] | 设备: 机械臂 | 标题: DeformNet: Latent Space Modeling and Dynamics Prediction for Deformable Object M...
✔ 完成 [1390/1760] | 设备: 其他 | 标题: LiDARFormer: A Unified Transformer-based Multi-task Network for LiDAR Perception...
✔ 完成 [1391/1760] | 设备: 无人小车 | 标题: NaviFormer: A Data-Driven Robot Navigation Approach via Sequence Modeling and Pa...
✔ 完成 [1392/1760] | 设备: 机械臂 | 标题: Real-Time Adaptive Safety-Critical Control with Gaussian Processes in High-Order...
✔ 完成 [1394/1760] | 设备: 无人机 | 标题: Actor-Critic Model Predictive Control....
✔ 完成 [1395/1760] | 设备: 无人小车 | 标题: Tractable Joint Prediction and Planning over Discrete Behavior Modes for Urban D...
✔ 完成 [1397/1760] | 设备: 其他 | 标题: RiskBench: A Scenario-based Benchmark for Risk Identification....
✔ 完成 [1398/1760] | 设备: 其他 | 标题: Enhancing Inland Water Safety: The Lake Constance Obstacle Detection Benchmark....
✔ 完成 [1396/1760] | 设备: 其他 | 标题: GenDOM: Generalizable One-shot Deformable Object Manipulation with Parameter-Awa...
✔ 完成 [1399/1760] | 设备: 无人小车 | 标题: IDD-X: A Multi-View Dataset for Ego-relative Important Object Localization and E...
✔ 完成 [1401/1760] | 设备: 其他 | 标题: The GOOSE Dataset for Perception in Unstructured Environments....
✔ 完成 [1402/1760] | 设备: 其他 | 标题: NYC-Indoor-VPR: A Long-Term Indoor Visual Place Recognition Dataset with Semi-Au...
✔ 完成 [1403/1760] | 设备: 无人机/无人小车 | 标题: TreeScope: An Agricultural Robotics Dataset for LiDAR-Based Mapping of Trees in ...
❌ 错误: API 或解析失败: Invalid \escape: line 5 column 949 (char 1115) (标题: COAST: COnstraints And STreams...)
✔ 完成 [1405/1760] | 设备: 其他 | 标题: COAST: COnstraints And STreams for Task and Motion Planning....
✔ 完成 [1400/1760] | 设备: 其他 | 标题: LiDAR-CS Dataset: LiDAR Point Cloud Dataset with Cross-Sensors for 3D Object Det...
✔ 完成 [1404/1760] | 设备: 其他 | 标题: Long-HOT: A Modular Hierarchical Approach for Long-Horizon Object Transport....
✔ 完成 [1407/1760] | 设备: 其他 | 标题: D-LGP: Dynamic Logic-Geometric Program for Reactive Task and Motion Planning....
✔ 完成 [1406/1760] | 设备: 机械臂 | 标题: Extending the Cooperative Dual-Task Space in Conformal Geometric Algebra....
✔ 完成 [1408/1760] | 设备: 无人小车 | 标题: Indoor Exploration and Simultaneous Trolley Collection Through Task-Oriented Env...
✔ 完成 [1412/1760] | 设备: 其他 | 标题: Solving Sequential Manipulation Puzzles by Finding Easier Subproblems....
✔ 完成 [1410/1760] | 设备: 无人小车 | 标题: Sense in Motion with Belief Clustering: Efficient Gas Source Localization with M...
✔ 完成 [1409/1760] | 设备: 其他 | 标题: Effort Level Search in Infinite Completion Trees with Application to Task-and-Mo...
✔ 完成 [1411/1760] | 设备: 机械臂 | 标题: R-LGP: A Reachability-guided Logic-geometric Programming Framework for Optimal T...
✔ 完成 [1414/1760] | 设备: 机械臂 | 标题: A Soft Robot Inverse Kinematics for Virtual Reality....
✔ 完成 [1413/1760] | 设备: 其他 | 标题: Adaptive State Estimation with Constant-Curvature Dynamics Using Force-Torque Se...
✔ 完成 [1415/1760] | 设备: 其他 | 标题: POE: Acoustic Soft Robotic Proprioception for Omnidirectional End-effectors....
✔ 完成 [1417/1760] | 设备: 其他 | 标题: Modeling and Control of Intrinsically Elasticity Coupled Soft-Rigid Robots....
✔ 完成 [1416/1760] | 设备: 其他 | 标题: A Data-Driven Approach to Geometric Modeling of Systems with Low-Bandwidth Actua...
✔ 完成 [1419/1760] | 设备: 其他 | 标题: WayEx: Waypoint Exploration using a Single Demonstration....
✔ 完成 [1418/1760] | 设备: 机械臂 | 标题: A Combination of a Controllable Clutch and an Oscillating Slider Crank Mechanism...
✔ 完成 [1421/1760] | 设备: 其他 | 标题: Fitting Parameters of Linear Dynamical Systems to Regularize Forcing Terms in Dy...
✔ 完成 [1423/1760] | 设备: 其他 | 标题: Bayesian Constraint Inference from User Demonstrations Based on Margin-Respectin...
✔ 完成 [1420/1760] | 设备: 其他 | 标题: Generating robotic elliptical excisions with human-like tool-tissue interactions...
✔ 完成 [1422/1760] | 设备: 其他 | 标题: AirExo: Low-Cost Exoskeletons for Learning Whole-Arm Manipulation in the Wild....
✔ 完成 [1424/1760] | 设备: 机械臂 | 标题: Instructing Robots by Sketching: Learning from Demonstration via Probabilistic D...
✔ 完成 [1425/1760] | 设备: 其他 | 标题: Learning Distributional Demonstration Spaces for Task-Specific Cross-Pose Estima...
✔ 完成 [1426/1760] | 设备: 机械臂 | 标题: Globally Stable Neural Imitation Policies....
✔ 完成 [1427/1760] | 设备: 其他 | 标题: Pedestrian Trajectory Prediction Using Dynamics-based Deep Learning....
✔ 完成 [1428/1760] | 设备: 其他 | 标题: POAQL: A Partially Observable Altruistic Q-Learning Method for Cooperative Multi...
✔ 完成 [1429/1760] | 设备: 其他 | 标题: Statler: State-Maintaining Language Models for Embodied Reasoning....
✔ 完成 [1430/1760] | 设备: 无人小车 | 标题: Multi-Granular Transformer for Motion Prediction with LiDAR....
✔ 完成 [1431/1760] | 设备: 其他 | 标题: What Matters for Active Texture Recognition With Vision-Based Tactile Sensors....
✔ 完成 [1433/1760] | 设备: 其他 | 标题: Distill-then-prune: An Efficient Compression Framework for Real-time Stereo Matc...
✔ 完成 [1432/1760] | 设备: 其他 | 标题: Learning with Chemical versus Electrical Synapses Does it Make a Difference?...
✔ 完成 [1434/1760] | 设备: 其他 | 标题: Incremental 3D Reconstruction through a Hybrid Explicit-and-Implicit Representat...
✔ 完成 [1435/1760] | 设备: 其他 | 标题: Sim2Real Bilevel Adaptation for Object Surface Classification using Vision-Based...
✔ 完成 [1436/1760] | 设备: 机械臂 | 标题: Shared Autonomy via Variable Impedance Control and Virtual Potential Fields for ...
✔ 完成 [1440/1760] | 设备: 机械臂 | 标题: An Intuitive Manual Guidance Scheme to Operate Rotation and Translation Simultan...
✔ 完成 [1437/1760] | 设备: 其他 | 标题: Robustifying a Policy in Multi-Agent RL with Diverse Cooperative Behaviors and A...
✔ 完成 [1438/1760] | 设备: 其他 | 标题: Human Robot Shared Control in Surgery: A Performance Assessment....
✔ 完成 [1442/1760] | 设备: 无人机 | 标题: Virtual Borders in 3D: Defining a Drone's Movement Space Using Augmented Reality...
✔ 完成 [1441/1760] | 设备: 机械臂 | 标题: A User-Centered Shared Control Scheme with Learning from Demonstration for Robot...
✔ 完成 [1439/1760] | 设备: 其他 | 标题: Distilling and Retrieving Generalizable Knowledge for Robot Manipulation via Lan...
✔ 完成 [1443/1760] | 设备: 其他 | 标题: Trajectory Prediction for Robot Navigation using Flow-Guided Markov Neural Opera...
✔ 完成 [1446/1760] | 设备: 其他 | 标题: Generating Environment-based Explanations of Motion Planner Failure: Evolutionar...
✔ 完成 [1445/1760] | 设备: 其他 | 标题: MAC-ID: Multi-Agent Reinforcement Learning with Local Coordination for Individua...
✔ 完成 [1444/1760] | 设备: 其他 | 标题: Stranger Danger! Identifying and Avoiding Unpredictable Pedestrians in RL-based ...
✔ 完成 [1447/1760] | 设备: 其他 | 标题: Vision-based Wearable Steering Assistance for People with Impaired Vision in Jog...
✔ 完成 [1449/1760] | 设备: 其他 | 标题: Safe and Individualized Motion Planning for Upper-limb Exoskeleton Robots Using ...
✔ 完成 [1456/1760] | 设备: 其他 | 标题: MOSAIC: Learning Unified Multi-Sensory Object Property Representations for Robot...
✔ 完成 [1452/1760] | 设备: 人形机器人 | 标题: Design of Morphable StateNet Based on Pseudo-Generalization of Standing Up Motio...
✔ 完成 [1454/1760] | 设备: 人形机器人 | 标题: Singularity-Robust Prioritized Whole-Body Tracking and Interaction Control With ...
✔ 完成 [1448/1760] | 设备: 其他 | 标题: Active, Quasi-Passive, Pneumatic, and Portable Knee Exoskeleton with Bidirection...
✔ 完成 [1451/1760] | 设备: 其他 | 标题: Toward Self-Righting and Recovery in the Wild: Challenges and Benchmarks....
✔ 完成 [1457/1760] | 设备: 其他 | 标题: Neural Rearrangement Planning for Object Retrieval from Confined Spaces Perceiva...
✔ 完成 [1450/1760] | 设备: 机器狗 | 标题: Hierarchical Optimization-based Control for Whole-body Loco-manipulation of Heav...
✔ 完成 [1455/1760] | 设备: 机器狗 | 标题: Learning Force Control for Legged Manipulation....
✔ 完成 [1453/1760] | 设备: 机械臂 | 标题: Representing Robot Geometry as Distance Fields: Applications to Whole-body Manip...
✔ 完成 [1459/1760] | 设备: 其他 | 标题: Neural Implicit Swept Volume Models for Fast Collision Detection....
✔ 完成 [1460/1760] | 设备: 其他 | 标题: Reg-NF: Efficient Registration of Implicit Surfaces within Neural Fields....
✔ 完成 [1464/1760] | 设备: 其他 | 标题: Object-centric Cross-modal Feature Distillation for Event-based Object Detection...
✔ 完成 [1462/1760] | 设备: 机械臂 | 标题: Composing Pre-Trained Object-Centric Representations for Robotics From "What" an...
✔ 完成 [1466/1760] | 设备: 机械臂 | 标题: Robust Surgical Tool Tracking with Pixel-based Probabilities for Projected Geome...
✔ 完成 [1463/1760] | 设备: 机械臂 | 标题: SKT-Hang: Hanging Everyday Objects via Object-Agnostic Semantic Keypoint Traject...
✔ 完成 [1465/1760] | 设备: 其他 | 标题: A Novel Robotic Bronchoscope with a Spring-Based Extensible Segment for Improvin...
✔ 完成 [1458/1760] | 设备: 其他 | 标题: MMPI: a Flexible Radiance Field Representation by Multiple Multi-plane Images Bl...
✔ 完成 [1461/1760] | 设备: 其他 | 标题: 3D-OAE: Occlusion Auto-Encoders for Self-Supervised Learning on Point Clouds....
✔ 完成 [1467/1760] | 设备: 其他 | 标题: Ada-Tracker: Soft Tissue Tracking via Inter-Frame and Adaptive-template Matching...
✔ 完成 [1470/1760] | 设备: 其他 | 标题: Lens Capsule Tearing in Cataract Surgery using Reinforcement Learning....
✔ 完成 [1468/1760] | 设备: 其他 | 标题: Real-to-Sim Deformable Object Manipulation: Optimizing Physics Models with Resid...
✔ 完成 [1471/1760] | 设备: 机械臂 | 标题: Orbit-Surgical: An Open-Simulation Framework for Learning Surgical Augmented Dex...
✔ 完成 [1472/1760] | 设备: 无人机 | 标题: Relaxed Hover Solution Based Control for a Bi-copter with Rotor and Servo Stuck ...
✔ 完成 [1473/1760] | 设备: 其他 | 标题: Utilizing a Malfunctioning 3D Printer by Modeling Its Dynamics with Machine Lear...
✔ 完成 [1469/1760] | 设备: 机械臂 | 标题: Efficient and Accurate Mapping of Subsurface Anatomy via Online Trajectory Optim...
✔ 完成 [1476/1760] | 设备: 其他 | 标题: Using Large Language Models to Generate and Apply Contingency Handling Procedure...
✔ 完成 [1474/1760] | 设备: 无人机 | 标题: A novel metric for detecting quadrotor loss-of-control....
✔ 完成 [1475/1760] | 设备: 无人小车 | 标题: Specifying and Monitoring Safe Driving Properties with Scene Graphs....
✔ 完成 [1477/1760] | 设备: 机械臂 | 标题: Skill Learning in Robot-Assisted Micro-Manipulation Through Human Demonstrations...
✔ 完成 [1480/1760] | 设备: 其他 | 标题: Dynamic Adaptive Imaging System on Optoelectronic Tweezers Platform....
✔ 完成 [1479/1760] | 设备: 其他 | 标题: Weakly-Supervised Depth Completion during Robotic Micromanipulation from a Monoc...
✔ 完成 [1478/1760] | 设备: 机械臂 | 标题: Automated Surgical Knot Tying on Mini-Incision with Micro-Suture based on Dual-A...
✔ 完成 [1486/1760] | 设备: 机械臂 | 标题: Autonomous and Teleoperation Control of a Drawing Robot Avatar....
✔ 完成 [1481/1760] | 设备: 其他 | 标题: Development of a 3-RRS Micromanipulator Based on Origami-Inspired Spherical Join...
✔ 完成 [1484/1760] | 设备: 其他 | 标题: Intelligent Mode-switching Framework for Teleoperation....
✔ 完成 [1482/1760] | 设备: 其他 | 标题: Wearable Haptics for a Marionette-inspired Teleoperation of Highly Redundant Rob...
✔ 完成 [1483/1760] | 设备: 机械臂 | 标题: Lightweight and Compliant Bilateral Teleoperation System with Anthropomorphic Ar...
✔ 完成 [1485/1760] | 设备: 其他 | 标题: Design Octree-Based Method to Improve Model-Mediated Teleoperation in Tactile In...
✔ 完成 [1491/1760] | 设备: 无人机 | 标题: Reinforcement Learning for Collision-free Flight Exploiting Deep Collision Encod...
✔ 完成 [1488/1760] | 设备: 其他 | 标题: A probabilistic approach for learning and adapting shared control skills with th...
✔ 完成 [1490/1760] | 设备: 无人机 | 标题: Learning to Explore Indoor Environments using Autonomous Micro Aerial Vehicles....
✔ 完成 [1487/1760] | 设备: 其他 | 标题: Adaptive Haptic Control Interface for Safeguarding Robotic Teleoperation in Haza...
✔ 完成 [1489/1760] | 设备: 无人机 | 标题: Air Bumper: A Collision Detection and Reaction Framework for Autonomous MAV Navi...
✔ 完成 [1493/1760] | 设备: 无人小车 | 标题: Streamlined Acquisition of Large Sensor Data for Autonomous Mobile Robots to Ena...
✔ 完成 [1492/1760] | 设备: 无人小车 | 标题: Osiris: Building Hierarchical Representations for Agricultural Environments....
✔ 完成 [1495/1760] | 设备: 其他 | 标题: LiDAR-based Robot Transplanter....
✔ 完成 [1494/1760] | 设备: 机械臂 | 标题: Development of an Automatic Sweet Pepper Harvesting Robot and Experimental Evalu...
✔ 完成 [1496/1760] | 设备: 无人小车 | 标题: EdgeSoil 2.0 - Soil Analyzer Using Convolutional Neural Network and Camera Imagi...
✔ 完成 [1498/1760] | 设备: 其他 | 标题: Autonomous Apple Fruitlet Sizing with Next Best View Planning....
✔ 完成 [1503/1760] | 设备: 其他 | 标题: Regressing Transformers for Data-efficient Visual Place Recognition....
✔ 完成 [1500/1760] | 设备: 其他 | 标题: A Vision-Centric Approach for Static Map Element Annotation....
✔ 完成 [1497/1760] | 设备: 无人小车 | 标题: On-the-Go Tree Detection and Geometric Traits Estimation with Ground Mobile Robo...
✔ 完成 [1501/1760] | 设备: 其他 | 标题: VBR: A Vision Benchmark in Rome....
✔ 完成 [1499/1760] | 设备: 其他 | 标题: Gradient-based Local Next-best-view Planning for Improved Perception of Targeted...
✔ 完成 [1504/1760] | 设备: 其他 | 标题: Enhancing Visual Place Recognition with Multi-modal Features and Time-constraine...
✔ 完成 [1502/1760] | 设备: 其他 | 标题: VDNA-PR: Using General Dataset Representations for Robust Sequential Visual Plac...
✔ 完成 [1505/1760] | 设备: 其他 | 标题: MBFusion: A New Multi-modal BEV Feature Fusion Method for HD Map Construction....
✔ 完成 [1508/1760] | 设备: 其他 | 标题: Learning Covariances for Estimation with Constrained Bilevel Optimization....
✔ 完成 [1509/1760] | 设备: 其他 | 标题: Less is More: Physical-Enhanced Radar-Inertial Odometry....
✔ 完成 [1512/1760] | 设备: 其他 | 标题: Helical Control in Latent Space: Enhancing Robotic Craniotomy Precision in Uncer...
✔ 完成 [1510/1760] | 设备: 其他 | 标题: iBoW3D: Place Recognition Based on Incremental and General Bag of Words in 3D Sc...
✔ 完成 [1507/1760] | 设备: 其他 | 标题: 2D-3D Object Shape Alignment for Camera-Object Pose Compensation in Object-Visua...
✔ 完成 [1513/1760] | 设备: 机械臂 | 标题: 1 kHz Behavior Tree for Self-adaptable Tactile Insertion....
✔ 完成 [1514/1760] | 设备: 机械臂 | 标题: DexDLO: Learning Goal-Conditioned Dexterous Policy for Dynamic Manipulation of D...
✔ 完成 [1511/1760] | 设备: 其他 | 标题: Language-EXtended Indoor SLAM (LEXIS): A Versatile System for Real-time Visual S...
✔ 完成 [1515/1760] | 设备: 其他 | 标题: Everyday finger: a robotic finger that meets the needs of everyday interactive m...
✔ 完成 [1516/1760] | 设备: 机械臂 | 标题: Quadratic Programming Based Inverse Kinematics for Precise Bimanual Manipulation...
✔ 完成 [1506/1760] | 设备: 其他 | 标题: HPF-SLAM: An Efficient Visual SLAM System Leveraging Hybrid Point Features....
✔ 完成 [1517/1760] | 设备: 其他 | 标题: TactileAR: Active Tactile Pattern Reconstruction....
✔ 完成 [1521/1760] | 设备: 其他 | 标题: Joint-Loss Enhanced Self-Supervised Learning for Refinement-Coupled Object 6D Po...
✔ 完成 [1518/1760] | 设备: 机械臂 | 标题: Online Estimation of Articulated Objects with Factor Graphs using Vision and Pro...
✔ 完成 [1520/1760] | 设备: 机械臂 | 标题: Learning Interaction Constraints for Robot Manipulation via Set Correspondences....
✔ 完成 [1522/1760] | 设备: 机械臂 | 标题: Force-based semantic representation and estimation of feature points for robotic...
✔ 完成 [1524/1760] | 设备: 其他 | 标题: Radar Tracker: Moving Instance Tracking in Sparse and Noisy Radar Point Clouds....
✔ 完成 [1519/1760] | 设备: 机械臂 | 标题: Learning to estimate incipient slip with tactile sensing to gently grasp objects...
✔ 完成 [1523/1760] | 设备: 其他 | 标题: Uplifting Range-View-based 3D Semantic Segmentation in Real-Time with Multi-Sens...
✔ 完成 [1527/1760] | 设备: 其他 | 标题: Masked γ-SSL: Learning Uncertainty Estimation via Masked Image Modeling....
✔ 完成 [1526/1760] | 设备: 其他 | 标题: Orientation-Aware Multi-Modal Learning for Road Intersection Identification and ...
✔ 完成 [1528/1760] | 设备: 其他 | 标题: EfficientDPS: Efficient and End-to-End Depth-aware Panoptic Segmentation....
✔ 完成 [1525/1760] | 设备: 其他 | 标题: ProEqBEV: Product Group Equivariant BEV Network for 3D Object Detection in Road ...
✔ 完成 [1529/1760] | 设备: 其他 | 标题: Robust Collaborative Perception against Temporal Information Disturbance....
✔ 完成 [1531/1760] | 设备: 其他 | 标题: Ethically Compliant Autonomous Systems under Partial Observability....
✔ 完成 [1530/1760] | 设备: 其他 | 标题: FocoTrack: Multi Object Tracking by Focusing On Overlap at Low Frame Rate....
✔ 完成 [1533/1760] | 设备: 人形机器人 | 标题: Infer and Adapt: Bipedal Locomotion Reward Learning from Demonstrations via Inve...
✔ 完成 [1534/1760] | 设备: 其他 | 标题: Online Distribution Shift Detection via Recency Prediction....
✔ 完成 [1532/1760] | 设备: 人形机器人 | 标题: Prompt, Plan, Perform: LLM-based Humanoid Control via Quantized Imitation Learni...
✔ 完成 [1535/1760] | 设备: 机器狗 | 标题: Conformal Policy Learning for Sensorimotor Control under Distribution Shifts....
✔ 完成 [1536/1760] | 设备: 其他 | 标题: Resampling-free Particle Filters in High-dimensions....
✔ 完成 [1540/1760] | 设备: 其他 | 标题: Continuous Robotic Tracking of Dynamic Targets in Complex Environments Based on ...
✔ 完成 [1538/1760] | 设备: 无人小车 | 标题: Toward Wheeled Mobility on Vertically Challenging Terrain: Platforms, Datasets, ...
✔ 完成 [1537/1760] | 设备: 其他 | 标题: A New Perspective of Deep Learning Testing Framework: Human-Computer Interaction...
✔ 完成 [1539/1760] | 设备: 其他 | 标题: Rethinking Social Robot Navigation: Leveraging the Best of Two Worlds....
✔ 完成 [1544/1760] | 设备: 其他 | 标题: UniGen: Unified Modeling of Initial Agent States and Trajectories for Generating...
✔ 完成 [1541/1760] | 设备: 无人小车 | 标题: Talk2BEV: Language-enhanced Bird's-eye View Maps for Autonomous Driving....
✔ 完成 [1542/1760] | 设备: 无人小车 | 标题: DualAT: Dual Attention Transformer for End-to-End Autonomous Driving....
✔ 完成 [1545/1760] | 设备: 其他 | 标题: S2R-ViT for Multi-Agent Cooperative Perception: Bridging the Gap from Simulation...
✔ 完成 [1546/1760] | 设备: 其他 | 标题: Eliminating Cross-modal Conflicts in BEV Space for LiDAR-Camera 3D Object Detect...
✔ 完成 [1548/1760] | 设备: 其他 | 标题: Vehicle Intention Classification Using Visual Clues....
✔ 完成 [1549/1760] | 设备: 其他 | 标题: CFDNet: A Generalizable Foggy Stereo Matching Network with Contrastive Feature D...
✔ 完成 [1547/1760] | 设备: 其他 | 标题: EMIFF: Enhanced Multi-scale Image Feature Fusion for Vehicle-Infrastructure Coop...
✔ 完成 [1550/1760] | 设备: 其他 | 标题: Multi-class Road Defect Detection and Segmentation using Spatial and Channel-wis...
✔ 完成 [1543/1760] | 设备: 无人小车 | 标题: SCALE: Self-Correcting Visual Navigation for Mobile Robots via Anti-Novelty Esti...
✔ 完成 [1553/1760] | 设备: 其他 | 标题: LPFormer: LiDAR Pose Estimation Transformer with Multi-Task Network....
✔ 完成 [1552/1760] | 设备: 无人小车 | 标题: FastOcc: Accelerating 3D Occupancy Prediction by Fusing the 2D Bird's-Eye View a...
✔ 完成 [1551/1760] | 设备: 其他 | 标题: HPL-ViT: A Unified Perception Framework for Heterogeneous Parallel LiDARs in V2V...
✔ 完成 [1554/1760] | 设备: 其他 | 标题: A Tube-Based Reinforcement Learning Approach for Optimal Motion Planning in Unkn...
✔ 完成 [1555/1760] | 设备: 其他 | 标题: Task-Oriented Active Learning of Model Preconditions for Inaccurate Dynamics Mod...
✔ 完成 [1557/1760] | 设备: 机械臂 | 标题: BeBOP - Combining Reactive Planning and Bayesian Optimization to Solve Robotic M...
✔ 完成 [1556/1760] | 设备: 无人小车 | 标题: Risk-Predictive Planning for Off-Road Autonomy....
✔ 完成 [1558/1760] | 设备: 其他 | 标题: Motion Memory: Leveraging Past Experiences to Accelerate Future Motion Planning....
✔ 完成 [1559/1760] | 设备: 无人小车 | 标题: Mitigating Causal Confusion in Vector-Based Behavior Cloning for Safer Autonomou...
✔ 完成 [1564/1760] | 设备: 其他 | 标题: Dynamic Crane Scheduling with Reinforcement Learning for a Steel Coil Warehouse....
✔ 完成 [1560/1760] | 设备: 其他 | 标题: Learning-Based Motion Planning with Mixture Density Networks....
✔ 完成 [1561/1760] | 设备: 机械臂 | 标题: Subgoal Diffuser: Coarse-to-fine Subgoal Generation to Guide Model Predictive Co...
✔ 完成 [1563/1760] | 设备: 其他 | 标题: Scaling Team Coordination on Graphs with Reinforcement Learning....
✔ 完成 [1566/1760] | 设备: 其他 | 标题: Well-Connected Set and Its Application to Multi-Robot Path Planning....
✔ 完成 [1562/1760] | 设备: 无人机 | 标题: Quadcopter Trajectory Time Minimization and Robust Collision Avoidance via Optim...
✔ 完成 [1568/1760] | 设备: 其他 | 标题: Multi-Robot Task Allocation Under Uncertainty Via Hindsight Optimization....
✔ 完成 [1565/1760] | 设备: 其他 | 标题: Tree-based Representation of Locally Shortest Paths for 2D k-Shortest Non-homoto...
✔ 完成 [1570/1760] | 设备: 机器狗 | 标题: Accounting for Travel Time and Arrival Time Coordination During Task Allocations...
✔ 完成 [1571/1760] | 设备: 无人小车 | 标题: Adaptive Pedestrian Agent Modeling for Scenario-based Testing of Autonomous Vehi...
✔ 完成 [1569/1760] | 设备: 其他 | 标题: Traffic Flow Learning Enhanced Large-Scale Multi-Robot Cooperative Path Planning...
✔ 完成 [1567/1760] | 设备: 其他 | 标题: Dynamic Coalition Formation and Routing for Multirobot Task Allocation via Reinf...
✔ 完成 [1572/1760] | 设备: 无人小车 | 标题: Convolutional Vision Transformer as a Path Following Controller for Omnidirectio...
✔ 完成 [1574/1760] | 设备: 其他 | 标题: LLM-BT: Performing Robotic Adaptive Tasks based on Large Language Models and Beh...
✔ 完成 [1573/1760] | 设备: 无人小车 | 标题: AutoExplorers: Autoencoder-Based Strategies for High-Entropy Exploration in Unkn...
✔ 完成 [1577/1760] | 设备: 其他 | 标题: Estimating Material Properties of Interacting Objects Using Sum-GP-UCB....
✔ 完成 [1578/1760] | 设备: 其他 | 标题: LiDAR-Camera Extrinsic Calibration with Hierachical and Iterative Feature Matchi...
✔ 完成 [1575/1760] | 设备: 其他 | 标题: DyHGDAT: Dynamic Hypergraph Dual Attention Network for multi-agent trajectory pr...
✔ 完成 [1576/1760] | 设备: 其他 | 标题: LCCRAFT: LiDAR and Camera Calibration Using Recurrent All-Pairs Field Transforms...
✔ 完成 [1580/1760] | 设备: 其他 | 标题: CalibFormer: A Transformer-based Automatic LiDAR-Camera Calibration Network....
✔ 完成 [1582/1760] | 设备: 其他 | 标题: ArrayBot: Reinforcement Learning for Generalizable Distributed Manipulation thro...
✔ 完成 [1583/1760] | 设备: 其他 | 标题: Optimizing Modular Robot Composition: A Lexicographic Genetic Algorithm Approach...
